id,nombre,fecha_inicio,fecha_fin,tipo,tematica,sold_out
E1,Feria de las Flores,2026-08-01,2026-08-10,Festival,Naturaleza,false
E2,Festival de Cine de Bogotá,2026-10-15,2026-10-25,Festival,Arte,false
E3,Carnaval de Barranquilla,2027-02-28,2027-03-04,Festival,Cultura,true
E4,Festival de Jazz de Bogotá,2026-09-05,2026-09-10,Festival,Música,false
E5,Feria de Cali,2026-12-25,2027-01-02,Feria,Música,false
E6,Festival Iberoamericano de Teatro,2027-03-20,2027-04-05,Festival,Arte,false
E7,Feria del Libro Bogotá,2026-04-23,2026-05-06,Feria,Cultura,false
E8,Festival Estéreo Picnic,2027-03-27,2027-03-30,Festival,Música,true
E9,Festival de la Leyenda Vallenata,2026-04-28,2026-05-03,Festival,Música,false
E10,Feria Artesanal de Bogotá,2026-11-01,2026-11-15,Feria,Arte,false
E11,Festival Petronio Álvarez,2026-08-20,2026-08-25,Festival,Cultura,false
E12,Festival de Verano Bogotá,2026-07-20,2026-07-28,Festival,Deporte,false
E13,Expo Naturaleza Medellín,2026-09-15,2026-09-20,Feria,Naturaleza,false
E14,Festival Gastronómico Cartagena,2026-10-01,2026-10-05,Festival,Gourmet,false
E15,Maratón de Bogotá,2026-07-27,2026-07-27,Festival,Deporte,false
E16,Festival de Luces Medellín,2026-12-07,2026-12-15,Festival,Arte,false
E17,Feria Agro Villavicencio,2026-06-15,2026-06-20,Feria,Naturaleza,false
